Generate Grid,Apply Rules,Update Birds,Gen Render Instances,Clear Grid,Add Instances,Upload instances to GPU,Render Forward,MainLoop,ProfilerPrintTimeStamps,
16529417,1567209,16672681,22918688,5570091,61699054,1612978,214230,93654695,3101932,
12065367,1977095,17306047,22934450,4989672,57303269,1770413,195212,96823006,2999591,
16512508,1502570,16455602,23063728,5492835,61533294,2152549,496540,93364467,3162317,
15916919,1276870,16084788,22883982,4842116,59736463,1721166,191142,95731801,3139858,
35362084,3499682,24070313,22858341,4753390,87051787,2504049,344803,119811476,2903094,
15476360,1479741,16430072,22903222,4732263,59547726,1780255,206719,98276513,3074886,
15671979,1507713,16628355,22920760,4855066,60084263,1862062,203648,99116155,2898432,
15695807,1523438,16411720,22967047,4870125,59954208,1852627,200651,96104207,3061454,
16008235,1512042,16393257,22838731,5327593,60574143,2103783,318533,96321804,2993374,
16542626,1567209,16495081,22871994,4802600,60721588,1806081,194250,97725177,3122467,
17393034,1646278,16855535,22934006,4813330,62004822,1745438,191364,135482050,3364262,
16653182,1614976,16703761,22907181,4886516,61158151,1823767,204536,101063131,3152807,
16463742,1554592,16464519,22911954,4719942,60568371,1810188,193695,98921165,2923518,
16385006,1625521,16873443,22847278,4765415,60879652,1790689,190624,97429066,2988268,
16460190,1549856,16522054,22920353,4991670,60901704,1954894,263144,97960238,2929438,
25462586,1503791,16512804,23031834,4643056,69657532,1690493,214452,120488649,3054239,
17217432,1702666,16971678,22883501,4970913,62051590,2252375,513338,134666458,3050243,
18911255,1883892,17435732,22936448,4792869,64081484,1871349,184445,101027944,3002218,
21574774,2045545,17829597,22918170,4897653,67228186,1958558,300958,112578715,3218150,
22964679,2385131,18791634,23686512,5161759,70620161,2009359,344914,107879123,3227806,
29349732,2931066,19262977,23012520,4535016,76168977,1831315,200022,111435342,3201573,
18904521,2462424,18632275,23076049,4585817,65206876,1672326,187442,99402053,3071075,
20469214,2462350,18432882,22940074,5024156,66875465,2431159,463351,139526333,3073443,
21191417,2695635,19088633,23004898,4708694,68000894,1841675,261738,106374000,3077143,
23804912,2995483,19640192,22889532,4581340,70925485,1741516,200355,107610041,3045600,
24825372,2982903,19154086,22885943,4906459,71780370,1941427,240981,106795578,3224736,
26299230,3049133,19440466,22919317,4866092,73533171,1909274,276094,108463427,3069558,
25043339,3086725,19479649,22854752,4637913,72023423,1855661,186591,106107822,2787766,
25028391,2983865,19825525,22878358,4546893,72286160,1743736,202242,143505795,2959519,
25924494,2786988,19176656,22966529,4643352,72717062,1800827,179376,110676805,3257850,
24240587,2854883,19300902,22874140,4605575,71028752,1782993,181374,109009474,3297588,
25474130,2761384,19052632,22919058,4658966,72113148,1887222,244348,107332041,2991636,
22253354,2086023,17982259,22967898,5360042,68570583,1745105,186924,103449335,3056867,
12326587,1472045,16456194,22973670,5247858,57011117,1921410,224997,93584174,2882486,
11182140,1266547,15972641,22942183,4639393,54745200,1718835,187997,126892240,3006102,
10547368,1233987,15776097,23028023,5516256,54874071,2243347,531838,95508506,2914232,
11443101,1322158,16007162,22999866,4969063,55427924,1953859,211011,94366130,2955413,
13667800,1494652,16209996,22993539,4554811,57433694,1717873,198135,93688960,3184405,
17582844,1836791,16852686,22877581,4717759,62038492,1765603,185222,98205214,3099306,
18215877,1685757,16871815,22818344,4642427,62554457,1878749,228401,96803914,3148441,
19842249,1800901,17104323,22899300,4616675,64469725,1661596,186258,135807685,3101600,
17887095,1924074,17156567,22944107,4831793,62826370,1988565,538757,101206433,2933767,
15242298,1519701,16596017,23019846,5050611,59915913,1929143,294002,105953384,2816774,
15414755,1560771,16692180,22841358,4532019,59490154,1956523,220039,97823856,2911937,
15271676,1533280,16387892,22854271,4541491,59061694,1712471,189033,96577252,2984716,
15183320,1618084,16408242,23047670,5014795,59663092,2031892,202057,95002050,2964034,
17259871,1580640,16520722,22878913,5124130,61792035,1998444,284123,133817899,3048986,
15485314,1518480,16299018,22929936,4420205,59142687,1648461,187072,96758033,3069669,
14958915,1583230,16601715,22891752,4566688,59027432,1712027,182743,95924201,2952601,
14976675,1540421,16388891,22921722,4841154,59135509,1975948,404891,95502512,2965587,
15246701,1496132,16404542,23006785,4553664,59220498,1912715,191438,106248904,3150254,
14895423,1505974,16359106,22840433,4443515,58552167,2001441,263514,93646667,3070372,
15948258,1491322,16242556,22867739,4465493,59532630,1722757,223406,132982218,3151771,
14869856,1518036,16331985,22774647,4607758,58592423,1897693,268953,96334088,2985826,
15047197,1494393,16254396,22882169,4524508,58716521,1705848,183002,95457928,3145814,
14850468,1494800,16346082,22916838,4468453,58588686,1782549,196211,94820713,3067671,
15096962,1504642,16365026,22918022,4957038,59347001,1991821,267769,94319067,3108963,
15120864,1509785,16366950,22831590,4642464,58969416,1858695,252710,97423108,3079622,
15793672,1521995,16395847,22934561,4540677,59671676,1780403,195656,131312815,3225956,
14687520,1476855,16194826,23005083,4691267,58586799,1957041,316424,97424515,2940168,
15165634,1494578,16369614,22899633,4631216,59074681,1835015,197765,96341155,3330370,
15072801,1493912,16370243,22834550,4471080,58755223,1597068,184371,94523863,3068114,
15056706,1529432,16387966,22870958,4472708,58796404,1690049,190439,93381080,2949530,
14950368,1536277,16324881,22834587,4486102,58603523,1933213,661227,93699466,2959187,
15902637,1496613,16201412,22903407,4590368,59608184,1920189,199467,136755440,3221147,
14789381,1500498,16198304,22908957,5700849,59604891,2129720,222185,98235591,3043288,
11203489,1322010,15966647,22891012,4855732,54922763,1967882,270359,92403503,3100527,
10520876,1222073,15746645,22905997,4676800,53858384,1942944,229030,91865634,3036887,
11273234,1270839,15808139,23091034,4526987,54707682,1808412,201539,90213770,3037256,
11997102,1364893,15990438,22964716,4837306,55796111,1971360,251674,90797333,2816071,
13382863,1358085,16041609,22919391,4963883,57318920,2480702,398527,130053261,3105928,
15422192,1465015,16295799,22977629,4564468,59266193,1777147,380841,97470728,3025194,
14263870,1502163,16291100,22877507,4460128,57900745,1669662,195582,95811537,3025638,
15230569,1497908,16031767,22838546,4508968,58617583,1841638,213194,95930233,3018682,
14285811,1450585,16081754,22941036,4394379,57712452,1730490,204906,94000313,2942721,
14636645,1512338,16548768,22921870,4445254,58560751,1687311,190069,93606856,2941982,
15572930,1536240,16278705,22960128,4441480,59261938,1760201,185629,138688173,3101080,
14696918,1444665,16105693,22996277,4942164,58749266,2204756,397491,97742900,3032150,
15169075,1582453,16408871,22981921,4431453,59001384,1674731,186924,97029466,3255779,
14747312,1536240,16453790,22948695,4572164,58728362,1768452,213194,94393697,3072591,
15032249,1506122,16241964,22903629,4471413,58656100,1788358,186776,94159894,3071221,
14878551,1491655,16247699,22931860,4486805,58551723,2010728,259814,98080488,3308578,
15713678,1482664,16148946,22747970,4357934,58976594,1698596,257372,130176878,3018164,
14887579,1500868,16238708,22972153,4716723,58822045,1978131,282865,98907697,3050983,
15062737,1503569,16162266,22964716,4665663,58863078,2277868,476116,107231735,3087835,
15700543,1450807,16247514,22848795,4643167,59447012,1908719,238872,96766285,3442016,
14813616,1520996,16239115,22894046,4433303,58388109,1647906,180523,93414158,2940650,
14590173,1463128,16174439,22864890,4367258,58003975,1703480,183002,93719224,2997223,
15340052,1454100,16145579,22904961,4417504,58817346,1746733,207015,130215654,2997407,
14789159,1457134,16054041,22923091,4440777,58216651,1766787,269693,95884020,3083543,
15073726,1517592,16210699,22925755,4423609,58640967,1840232,211640,95596234,3054905,
14919769,1489731,16226868,22851015,4328926,58332498,1690789,192733,95089593,3073220,
15075687,1527989,16332614,22757109,4826132,59001051,2019275,523402,95425052,3162279,
14910334,1487733,16414569,22920390,4410622,58664425,1693527,182521,95097807,2920282,
15759632,1448476,16187796,22829888,4358452,59143575,1672659,184704,130988399,2981386,
14979339,1432196,16166965,22889902,4427938,58471211,1828059,212417,95931823,3021828,
14878181,1470602,16313596,22921759,4398301,58518571,1808967,204462,96980774,3076143,
15096962,1577273,16413940,22907144,4406293,58830296,1791429,244089,95601784,3027747,
15009272,1478113,16335056,23046597,4343023,58742014,1618565,182965,93841619,3110776,
15378384,1496724,16302829,23030280,4407292,59127258,1813518,186073,95287339,2904889,
11541003,1272208,15849764,22944514,4527209,54869594,1943906,230325,132070093,3083174,
11121275,1244828,15708461,22963125,4536940,54337460,1877380,185259,93120711,2932029,
11997620,1301586,15764886,22940555,4307984,55018297,1807339,204277,91644744,3047839,
12828159,1340954,15897457,22867628,4477148,56078569,1845116,210419,92852573,2973912,
13502817,1372404,15869744,22899744,4365075,56647185,1661189,184963,91754856,2923926,
14043905,1445738,16122639,22898671,4386831,57459816,1782327,192770,92709235,3006398,
15538594,1520626,16255913,22932711,4453431,59190676,1846189,191808,132456854,3064600,
15132260,1506418,16126413,22881910,4367184,58515537,1905130,217153,95218242,3035517,
15023517,1436488,16109282,22781307,4293702,58213469,1804231,232212,95691102,2968991,
15344085,1500757,16344343,22907773,4406367,59010449,1844006,181818,94544841,3212193,
15168964,1606392,16382194,22889902,4346464,58793814,1742071,185333,100195815,3061751,
15264313,1533169,16223908,23005453,4333107,58833441,1824655,196655,93969011,2966364,
16975637,1494541,16177843,22825226,4286487,60270891,1726827,197728,132004604,2969176,
15398845,1496983,16253249,22919058,4489136,59070241,1963590,230695,98806353,3046100,
15458119,1551780,16278779,22923720,4408106,59077641,1925036,228956,97885645,2969473,
15625433,1528988,16464186,22770281,4378543,59245991,1778516,205239,99725249,3121839,
15660509,1500979,16206296,22860968,4285895,59021105,1746400,188330,94780458,2996703,
15638050,1509674,16291988,22897857,4336104,59171214,1743625,200096,93760737,3070076,
16366062,1489879,16305234,22860376,4303063,59843282,1688125,193843,131108797,3024566,
15833262,1543825,16315890,22918873,4290816,59369164,1622191,183631,96889050,3252338,
16107617,1521588,16373943,22922462,4478073,59891493,1905907,197987,98099246,3051464,
16067916,1476892,16122269,22977370,4372512,59546616,1814036,225441,95329057,3006879,
16120604,1492247,16171960,22913619,4278273,59490672,1858584,267029,94618249,3207864,
16058111,1525510,16233269,22873844,4376582,59548873,1693897,195064,93517981,3053499,
16994803,1514965,16205482,22817308,4287819,60314292,1721573,206349,130846429,3053166,
16249734,1484662,16155680,22905146,4259329,59576142,1630516,184889,97782749,3197503,
16512323,1594774,16453826,23064246,4421167,60459924,1927293,207792,97464032,2986122,
16820163,1524585,16344787,22995093,4503566,60671490,2060863,348910,98885385,3072739,
16517799,1522624,16182690,22863706,4481218,60051851,1810928,228179,95611996,3071408,
16590763,1545971,16299943,22787486,4272353,59956946,1713248,194435,93412678,3123651,
17433697,1474413,16129558,22962015,4274166,60805837,1787951,192807,132241477,2911827,
16664356,1489102,16235563,22875657,4345613,60127590,1919153,214341,97250134,3086133,
16716008,1537202,16182949,22984400,4306578,60198667,1818883,212602,96739756,2993412,
16830930,1541383,16123712,22843874,4343467,60148162,1811779,198579,96174877,3073590,
10638388,1349094,16190053,22872623,5010910,54720225,2104005,556406,92441761,3107668,
12357852,1338697,15934679,22836733,4376619,55515281,1827911,206534,97719109,3244752,
13820166,1344728,16043163,22854234,4616638,57340787,1958484,290191,129931975,2874235,
16017004,1485069,16224019,22900151,4399078,59548170,1689864,189144,97197816,3036775,
17178582,1518998,16271749,22791741,4268357,60516312,1662003,182595,98258642,2974430,
17456341,1508009,16185502,22944847,4316198,60909992,1857880,180264,96721810,3049763,
17474434,1570983,16380122,22951877,4256517,61071423,1797866,271543,97430583,2906424,
17571041,1639248,16784162,22920575,4328297,61611956,1648979,193584,96271335,2960260,
18377419,1573203,16321181,22921611,4304025,61932376,1861099,212898,137513719,3227954,
17701910,1616604,16492195,22926606,4365889,61493667,1857511,213379,101293641,3061603,
18040867,1500424,16260871,22939926,4411917,61660463,1818698,241277,99429766,2962813,
17969864,1578235,16411572,22878802,4247711,61516644,1694563,190957,97602781,3022086,
18259537,1610869,16405393,22917430,4240311,61827555,1676544,193399,97110681,3004567,
21334200,1707994,17415086,23037125,4385980,66323166,1776481,178636,102517325,3086541,
19587689,1619860,16592539,22877359,4348684,63414485,1856253,194139,136387513,3051001,
18582954,1609130,16433846,22932008,4254852,62210320,1690345,193436,100695796,3041621,
18780867,1564804,16409722,22877026,4267395,62344741,1760978,202797,98645699,2937357,
19531116,1628703,16664171,23345076,4709397,64258085,1949530,484996,101778712,2966586,
19656990,1687903,16816167,22915913,4544562,63941624,1928329,301180,101593230,2975615,
20142985,1738038,16768437,23012520,4364483,64296676,1922853,276871,100163551,3060677,
20414454,1601656,16445131,22928160,4622447,64416926,1996483,254597,135685548,3093053,
20305785,1635548,16523793,22919465,4434635,64191707,2174860,459355,104813082,3066338,
20591647,1635400,16719930,22845687,4368627,64534142,1855291,226847,101611359,3178559,
20490711,1609833,16503517,22930084,4285044,64215683,1840824,323676,100399333,3045121,
20781309,1594922,16572966,22869885,4320490,64551939,1686608,182706,98859966,3116437,
20958650,1707994,16739651,22889310,4392825,64988428,1938800,195360,99439201,3025454,
22056514,1707957,16662136,22913397,4342320,65980509,1782660,213786,138772533,2969657,
21814386,1700187,16827933,23056957,4373474,66079743,1804897,199726,102809494,2938615,
21633160,1690086,16716563,22943478,4307688,65608659,1758610,192474,102036195,3482958,
21739239,1616715,16611520,22886683,4414655,65658979,1829206,194731,101613581,3135935,
21922426,1640950,16621843,22828593,4441406,65821631,1920004,208532,101621129,3204126,
24490929,1663335,16732880,24078268,4812849,70121401,1846448,184149,107141843,2865984,
22653102,1394900,16314854,22825078,4324671,66126437,1710288,187627,137363054,3089112,
18022626,1741664,17124451,22867369,4594475,62616062,1943240,237984,99830847,2855845,
22573885,1623486,16881398,22832145,4219332,66515714,1842267,203241,105676883,3099602,
22502734,1730231,17151128,22824893,4182258,66669634,1770376,217116,103389766,3238907,
22789854,1447070,16453308,22950989,4278125,66479602,1885742,213860,101858446,2843636,
21645444,1734597,17059960,22860931,4342912,65916980,2116030,293595,100213759,3091388,
22762733,1725236,17137253,22893454,4227879,67029052,1816108,227513,139553010,3067597,
22488711,1625965,16872777,22946031,4258182,66571436,1784843,215525,103729166,2902650,
21494003,1684684,17072873,23004454,4256258,65837652,1919264,194509,102719178,2976761,
